"...1" "BTC-USD" "ETH-USD" "BNB-USD" "ADA-USD" "XRP-USD" "LTC-USD"
"2021-03-24" 52774.265625 1593.41345214844 249.851379394531 1.07500195503235 0.488837003707886 177.65495300293
"2021-03-25" 51704.16015625 1595.35925292969 234.885437011719 1.1015739440918 0.517498016357422 173.061187744141
"2021-03-26" 55137.3125 1702.84204101562 255.104568481445 1.21396899223328 0.567054986953735 184.278671264648
"2021-03-27" 55973.51171875 1716.49462890625 269.102325439453 1.17657697200775 0.5504429936409 184.830444335938
"2021-03-28" 55950.74609375 1691.35595703125 269.191284179688 1.19112396240234 0.550755977630615 185.02848815918
"2021-03-29" 57750.19921875 1819.68493652344 275.214630126953 1.20254099369049 0.56787097454071 194.47477722168
"2021-03-30" 58917.69140625 1846.03369140625 311.426483154297 1.21331703662872 0.566859006881714 196.682098388672
"2021-03-31" 58918.83203125 1918.36206054688 302.063446044922 1.19326400756836 0.573868989944458 197.499099731445
"2021-04-01" 59095.80859375 1977.27685546875 335.212890625 1.18924403190613 0.579291999340057 204.112518310547
"2021-04-02" 59384.3125 2143.2255859375 339.007720947266 1.19650900363922 0.616568982601166 213.228393554688
"2021-04-03" 57603.890625 2028.42248535156 323.133514404297 1.17327702045441 0.590915024280548 197.148208618164
"2021-04-04" 58758.5546875 2093.12280273438 351.624389648438 1.1914199590683 0.646728992462158 204.042907714844
"2021-04-05" 59057.87890625 2107.88720703125 367.772491455078 1.21430003643036 0.920472979545593 221.069046020508
"2021-04-06" 58192.359375 2118.37890625 403.590759277344 1.25535404682159 1.09626603126526 237.664901733398
"2021-04-07" 56048.9375 1971.07727050781 374.658813476562 1.17514896392822 0.917576014995575 219.423675537109
"2021-04-08" 58323.953125 2088.57373046875 418.038391113281 1.21943604946136 1.05275595188141 227.003021240234
"2021-04-09" 58245.00390625 2072.10888671875 453.178466796875 1.20353996753693 1.02083694934845 221.862365722656
"2021-04-10" 59793.234375 2135.94213867188 472.560333251953 1.2187579870224 1.37441599369049 255.620193481445
"2021-04-11" 60204.96484375 2157.65698242188 525.385559082031 1.26673495769501 1.36053001880646 253.634460449219
"2021-04-12" 59893.453125 2139.35327148438 598.72265625 1.31612694263458 1.46773505210876 244.494369506836
"2021-04-13" 63503.45703125 2299.18774414062 549.586547851562 1.41178596019745 1.79400098323822 266.981475830078
"2021-04-14" 63109.6953125 2435.10498046875 549.591857910156 1.45542001724243 1.83923602104187 279.748413085938
"2021-04-15" 63314.01171875 2519.1162109375 542.632080078125 1.48158800601959 1.76606702804565 286.590606689453
"2021-04-16" 61572.7890625 2431.94653320312 510.220184326172 1.41694903373718 1.55752694606781 310.612731933594
"2021-04-17" 60683.8203125 2344.89501953125 520.416748046875 1.38486897945404 1.56005501747131 304.759918212891
"2021-04-18" 56216.18359375 2237.13696289062 481.034240722656 1.27550101280212 1.40599799156189 273.098815917969
"2021-04-19" 55724.265625 2166.18872070312 505.092926025391 1.19795894622803 1.3150440454483 261.919219970703
"2021-04-20" 56473.03125 2330.2109375 587.029113769531 1.26593399047852 1.38329899311066 260.941345214844
"2021-04-21" 53906.08984375 2364.75170898438 546.023559570312 1.20673501491547 1.29649794101715 258.805603027344
"2021-04-22" 51762.2734375 2403.53515625 506.013000488281 1.14701700210571 1.15968203544617 253.078353881836
"2021-04-23" 51093.65234375 2363.58618164062 526.565246582031 1.15570199489594 1.16965997219086 241.358779907227
"2021-04-24" 50050.8671875 2211.62573242188 496.415069580078 1.10135495662689 1.0487060546875 224.83576965332
"2021-04-25" 49004.25390625 2316.0595703125 505.077056884766 1.088250041008 1.03225600719452 223.632858276367
"2021-04-26" 54021.75390625 2534.48168945312 534.577697753906 1.2340190410614 1.36850595474243 247.40592956543
"2021-04-27" 55033.1171875 2662.865234375 568.470520019531 1.3069269657135 1.40095496177673 259.652282714844
"2021-04-28" 54824.703125 2746.38012695312 562.632568359375 1.3356659412384 1.35860097408295 258.505157470703
"2021-04-29" 53555.109375 2756.876953125 599.70654296875 1.30801403522491 1.39935994148254 255.585266113281
